,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
4,70.3302,359.033,2.4872,9.1377,1,1,2.333333333,2,2,2,2,5,5,4,14
5,33.6624,181.843,5.18714,4.0868,2,2,3,3,4,2.5,3,3,2,3,14
6,29.9427,174.504,2.83638,6.0699,2.5,3,3.5,3,2,4,3.25,3,3,5,14
7,39.4232,219.669,2.55426,2.1712,3.5,4,4.333333333,4,4,4,4,2,5,5,14
8,80.897,394.6,2.97003,7.9199,5,1,3,2,2,3.5,2.75,4,5,3,14
9,39.771,198.94,3.00274,4.3366,2,2,2.833333333,2,2,3.5,2.75,3,2,5,14
0,26.72058,125.8481533,,23.40871,1.5,1,1.5,1,1,2,1.5,4,5,2,15
1,41.4537,222.4993,2.38648,4.1038,1.5,4,3.666666667,5,4,3.5,4,1,4,4,15
2,27.2006,150.8962,1.68667,23.8405,4.5,5,3.666666667,1,3,3.5,2.75,1,5,4,15
3,25.2448,128.7234,3.00403,15.5525,4.5,5,3.333333333,5,4,2.5,3.5,2,5,4,15
4,48.371,271.6679,2.5544,25.7047,4,2,1.666666667,1,1,1,1,5,5,1,15
5,26.4947,139.3688,5.35284,7.2861,3,5,4.5,5,3,4.5,4.25,1,5,5,15
6,36.8911,196.077,2.21894,19.3358,5,3,3.333333333,1,4,4.5,3.5,2,4,4,15
7,31.6284,170.305,2.95298,13.653,4,5,4.333333333,5,5,5,5,1,5,5,15
8,55.1041,318.723,3.18667,32.1037,5,3,1.833333333,1,2,3,2.25,4,5,5,15
9,37.9972,207.868,1.76966,34.8021,4,3,2.333333333,5,1,2,2.5,2,5,4,15
0,178.92012,830.3147533,,24.82055,2.5,4,3.5,3,3,3,3,4,3,3,16
1,104.0957,575.412,2.9196,4.8204,2.5,4,4.166666667,3,3,3.5,3.25,5,3,4,16
2,76.3238,432.383,2.81994,8.8871,4,3,3.833333333,3,3,3.5,3.25,5,3,3,16
3,56.378,296.276,2.5865,1.4433,4,4,3.666666667,3,3,3.5,3.25,2,3,4,16
4,65.7963,371.471,4.13646,9.6186,3,4,3.333333333,3,5,3,3.5,4,3,3,16
5,52.1127,281.244,5.70331,7.4866,4,3,3.666666667,2,3,3,2.75,3,3,4,16
6,39.2601,166.102,3.33612,8.353,4,3,3.666666667,4,4,3,3.5,3,3,4,16
7,40.488,223.472,6.15309,9.0012,4,4,4,3,4,3.5,3.5,3,3,3,16
8,98.136,563.097,3.88685,12.086,4.5,3,3.166666667,3,3,3,3,5,3,4,16
9,42.342,214.935,3.28646,9.27,4,3,3.333333333,3,3,3.5,3.25,3,3,4,16
0,30.17887,127.7905533,,21.39699,5,4,4.333333333,4,4,3.5,3.75,2,2,4,17
1,43.879,239.9513,3.41461,21.68994,5,4,4.166666667,4,4,3.5,3.75,3,4,3,17
2,41.7266,213.936,1.43632,25.6731,4.5,3,4.166666667,4,4,4.5,4.25,2,4,5,17
3,29.3588,137.0235,2.10267,16.1692,5,1,4.5,5,4,2.5,3.5,4,5,4,17
4,52.3022,282.3804,2.81967,10.7863,5,2,4.333333333,1,4,3.5,3,4,4,5,17
5,31.5165,136.784,3.62411,1.2032,5,2,4.333333333,2,4,3.5,3.25,1,2,4,17
6,38.8036,209.959,2.28725,1.9061,5,1,5,4,5,3,3.75,1,5,5,17
7,44.4173,236.509,1.66989,2.8536,5,1,4.833333333,4,5,3,3.75,5,5,5,17
8,61.9391,342.331,2.50397,3.1541,5,5,4.666666667,1,5,3.5,3.25,5,1,5,17
9,29.592,145.33,2.95405,15.3527,5,2,4,4,4,3.5,3.75,4,2,4,17
0,24.70192,129.8923533,,17.07433,4,3,3,5,4,2,3.25,3,5,3,18
1,41.0701,229.4757,3.00427,14.7704,4,5,4.833333333,5,4,5,4.75,4,5,5,18
2,33.0557,163.5846,4.70323,16.6357,5,5,4.666666667,2,3,5,3.75,1,5,5,18
3,23.5155,128.0512,2.85379,10.27,5,5,4.666666667,3,4,5,4.25,1,5,5,18
4,46.5962,262.1239,3.52048,19.77,5,5,4.166666667,3,5,5,4.5,5,5,5,18
5,29.9567,169.659,3.75388,32.639,5,3,3.333333333,3,2,4,3.25,3,5,3,18
